tf,corr,nz,sum_a,sum_b,mean_a,mean_b,mean_ratio
POGK,0.9999999999999999,357,16.566497516303084,16.566497516303084,0.0009617147054628518,0.0009617147054628518,1.0
ZNF100,0.9999999999999999,4789,55.00433058660922,55.004330586609186,0.0031930994187048195,0.0031930994187048174,1.0000000000000007
ZSCAN31,0.9999999999999999,6016,182.16310090209353,182.16310090209356,0.010574892656571086,0.010574892656571088,0.9999999999999999
ZNF398,0.9999999999999999,7224,53.1272335096616,53.127233509661586,0.003084130588044909,0.003084130588044908,1.0000000000000002
TFAP2E,0.9999999999999999,5388,195.15172632527785,195.15172632527785,0.011328905510581555,0.011328905510581555,1.0
ZNF266,0.9999999999999999,2341,65.58588188310299,65.58588188310299,0.003807377329798153,0.003807377329798153,1.0
MTF1,0.9999999999999999,2587,75.72369983815817,75.72369983815817,0.004395895729603981,0.004395895729603981,1.0
POU4F1,0.9999999999999999,523,10.333298560254722,10.333298560254722,0.0005998663973211843,0.0005998663973211843,1.0
ZNF250,0.9999999999999999,5256,130.3637748096104,130.3637748096104,0.007567849460676326,0.007567849460676326,1.0
MLXIP,0.9999999999999999,915,18.60699891161349,18.60699891161349,0.0010801694480212175,0.0010801694480212175,1.0
SPI1,0.9999999999999999,6736,380.0201863215499,380.0201863215498,0.02206084908403285,0.022060849084032844,1.0000000000000002
NR4A1,0.9999999999999999,2913,121.84011460409543,121.84011460409539,0.0070730357949666455,0.007073035794966643,1.0000000000000004
PPARD,0.9999999999999999,2906,103.17770340344838,103.17770340344838,0.005989649564811818,0.005989649564811818,1.0
MITF,0.9999999999999999,2470,65.67774749444823,65.67774749444821,0.003812710292258692,0.003812710292258691,1.0000000000000002
ZNF543,0.9999999999999999,8458,147.06526080320955,147.06526080320955,0.00853740048782129,0.00853740048782129,1.0
TCF12,0.9999999999999999,4649,217.76790155329695,217.76790155329698,0.012641814788882906,0.012641814788882908,0.9999999999999999
ZNF382,0.9999999999999999,3412,100.60669477619047,100.60669477619047,0.005840397931974368,0.005840397931974368,1.0
ZNF587,0.9999999999999999,3098,48.99794734407942,48.99794734407942,0.002844418166961536,0.002844418166961536,1.0
